pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,4/15/23,81.4,2.81,5.44,"Raley, Brooks",675656,548384,strikeout,swinging_strike_blocked,,,,,13,"Kevin Smith strikes out swinging, catcher Francisco Alvarez to first baseman Pete Alonso.",R,R,L,OAK,NYM,S,2,,2,2,2023,-1.75,0.75,-1.21,1.82,,665923,,2,7,Bot,,,,,682626,,,-5.612754811,-118.4786096,-2.926988354,-15.32425135,23.83421498,-24.78010473,3.31,1.55,,,,80.6,2939,5.8,718565,548384,682626,624413,643446,641645,596019,592192,607043,516782,54.67,,,0,1,0,0,,58,5,Sweeper,2,3,2,3,3,2,2,3,Standard,Strategic,299,-0.075,-0.285
ST,4/15/23,77.7,-3.05,5.21,"Ottavino, Adam",667670,493603,,called_strike,,,,,4,Brent Rooker walks.,R,R,R,OAK,NYM,S,,,0,1,2023,1.43,0.07,-0.33,2.55,,,,0,8,Bot,,,,,682626,,,3.21666036,-113.1677289,1.119218984,11.63719241,22.03576664,-31.99831425,3.53,1.68,,,,78,2721,6.6,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.93,,,,,,,,62,2,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,76,0,-0.057
ST,4/14/23,81.5,-1.75,5.94,"Senga, Kodai",649557,673540,home_run,hit_into_play,,,,,1,Aledmys Diaz homers (1) on a fly ball to left field.,R,R,R,OAK,NYM,X,,fly_ball,0,0,2023,0.94,-0.06,-0.6,3.23,,,,2,5,Bot,31.85,75.32,,,621512,,,0.785363992,-118.644283,0.702531639,8.612697132,25.79751712,-33.1071329,3.53,1.72,383,103.5,30,81.3,2587,6.4,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.06,0.869,1.746,2,1,0,3,6,58,1,Sweeper,3,12,3,12,12,4,4,12,Standard,Standard,46,0.003,1
ST,4/14/23,83.3,-1.99,5.73,"Senga, Kodai",665923,673540,field_out,hit_into_play,,,,,7,"Esteury Ruiz grounds out, third baseman Eduardo Escobar to first baseman Pete Alonso.",R,R,R,OAK,NYM,X,5,ground_ball,2,2,2023,0.82,-0.09,-0.41,1.76,,,,1,4,Bot,98.86,158,,,621512,,,2.021992242,-121.468349,-2.616803038,7.831165232,21.42388438,-32.75383053,3,1.5,67,101.9,3,84.2,2493,6.5,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,53.99,0.529,0.5,0,1,0,0,4,41,5,Sweeper,3,6,3,6,6,3,3,6,Standard,Strategic,47,-0.017,-0.166
ST,4/14/23,81.5,-2.03,5.64,"Senga, Kodai",665923,673540,,foul,,,,,8,"Esteury Ruiz grounds out, third baseman Eduardo Escobar to first baseman Pete Alonso.",R,R,R,OAK,NYM,S,,,0,1,2023,1.36,0.15,-0.22,1.66,,,,1,4,Bot,,,,,621512,,,1.453706527,-118.7797424,-2.671819471,12.58171986,22.66735024,-30.49806099,3,1.5,144,55.2,42,81.7,2607,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.18,,,,,,,,41,2,Sweeper,3,6,3,6,6,3,3,6,Strategic,Strategic,59,0,-0.034
ST,4/14/23,78.8,-2.17,5.51,"Senga, Kodai",669127,673540,home_run,hit_into_play,,,,,2,Shea Langeliers homers (3) on a fly ball to left field.   Conner Capel scores.,R,R,R,OAK,NYM,X,,fly_ball,0,0,2023,0.97,0.21,-0.11,2.82,,,668843,1,4,Bot,24.43,85.23,,,621512,,,2.688410043,-114.8071526,0.537208111,8.12911135,20.73719957,-30.59037089,3.34,1.52,375,98.1,35,79.2,2586,6.4,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.05,0.217,0.368,2,1,0,3,5,40,1,Sweeper,1,6,1,6,6,3,3,6,Standard,Standard,52,0.095,1.716
ST,4/14/23,78.9,-1.69,6.04,"Senga, Kodai",668843,673540,,called_strike,,,,,1,Conner Capel singles on a line drive to left fielder Jeff McNeil.,R,L,R,OAK,NYM,S,,,1,0,2023,1.22,-0.12,-0.66,3.15,,,,1,4,Bot,,,,,621512,,,-0.027512642,-114.9448141,0.752449941,10.80865824,22.07782595,-33.62653203,3.34,1.67,,,,78.9,2494,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.2,,,,,,,,39,2,Sweeper,1,6,1,6,6,1,1,6,Standard,Standard,36,0,-0.046
ST,4/14/23,80.7,-2.1,5.67,"Senga, Kodai",649557,673540,,ball,,,,,11,"Aledmys Diaz lines out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,OAK,NYM,B,,,1,0,2023,1.23,0.06,-1.06,3.32,,,,0,4,Bot,,,,,621512,,,-0.014778063,-117.5369328,1.292722351,11.37284353,21.9883326,-32.0661196,3.45,1.73,,,,80.8,2528,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.21,,,,,,,,38,2,Sweeper,1,6,1,6,6,1,1,6,Standard,Standard,21,0,0.075
ST,4/14/23,81.7,-2.39,5.45,"Senga, Kodai",667670,673540,,blocked_ball,,,,,14,Brent Rooker singles on a pop up to second baseman Luis Guillorme.   Ryan Noda scores.,R,R,R,OAK,NYM,B,,,1,0,2023,0.99,0.09,1.65,-0.1,,,676116,2,3,Bot,,,,,621512,,,7.194270396,-118.7393689,-6.139712258,8.123079151,21.37963632,-30.36507077,3.46,1.69,,,,81.8,2780,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.19,,,,,,,,30,2,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,33,0,0.011
ST,4/14/23,80.4,-2.05,5.7,"Senga, Kodai",665923,673540,single,hit_into_play,,,,,12,Esteury Ruiz singles on a soft bunt ground ball to pitcher Kodai Senga.,R,R,R,OAK,NYM,X,1,ground_ball,0,1,2023,0.94,0.34,1.1,2.68,,,,0,3,Bot,123.09,198.2,,,621512,,,5.203841582,-117.1288879,-0.724066157,7.845037004,20.18413585,-29.13963201,3,1.5,2,14.7,-46,80.8,2534,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.18,0.24,0.216,0.9,1,1,0,1,27,2,Sweeper,0,6,0,6,6,0,0,6,Standard,Strategic,44,0.018,0.262
ST,4/14/23,80.2,-2.12,5.6,"Senga, Kodai",665923,673540,,called_strike,,,,,6,Esteury Ruiz singles on a soft bunt ground ball to pitcher Kodai Senga.,R,R,R,OAK,NYM,S,,,0,0,2023,0.81,0.28,0.4,2.5,,,,0,3,Bot,,,,,621512,,,4.048864482,-116.8649844,-0.740741373,6.693547988,21.14436968,-29.67115917,2.98,1.51,,,,80.4,2476,6.2,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.26,,,,,,,,27,1,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,46,0,-0.044
ST,4/14/23,84.7,-2.09,5.67,"Senga, Kodai",669127,673540,,called_strike,,,,,6,Shea Langeliers strikes out swinging.,R,R,R,OAK,NYM,S,,,0,0,2023,1.05,-0.24,0.63,2.07,657656,,668843,2,2,Bot,,,,,621512,,,4.268527463,-123.3256428,-1.57119423,9.776046674,25.47467186,-34.54062996,3.26,1.53,,,,84.9,2662,6.4,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.05,,,,,,,,22,1,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,44,0,-0.071
ST,4/14/23,79.8,-1.83,5.95,"Senga, Kodai",668843,673540,,ball,,,,,13,Conner Capel singles on a fly ball to right fielder Starling Marte.   Ramon Laureano to 3rd.,R,L,R,OAK,NYM,B,,,1,0,2023,1.07,-0.32,-0.43,1.37,,,657656,2,2,Bot,,,,,621512,,,1.083193699,-116.139301,-2.679556471,9.351298235,24.41123214,-34.74144013,3.31,1.67,,,,79.4,2583,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.21,,,,,,,,21,2,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,36,0,0.011
ST,4/14/23,83.4,-2.38,5.58,"Senga, Kodai",649557,673540,,called_strike,,,,,7,Aledmys Diaz strikes out on a foul tip.,R,R,R,OAK,NYM,S,,,0,1,2023,1.28,-0.34,-0.72,2.05,,,657656,1,2,Bot,,,,,621512,,,1.291295222,-121.4756872,-0.948142261,12.33359172,26.03147716,-35.59666927,3.51,1.73,,,,83.2,2656,6.3,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.18,,,,,,,,20,2,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,51,0,-0.061
ST,4/14/23,82.9,-2.37,5.35,"Senga, Kodai",649557,673540,,called_strike,,,,,2,Aledmys Diaz strikes out on a foul tip.,R,R,R,OAK,NYM,S,,,0,0,2023,1.31,-0.27,0.18,3.02,,,657656,1,2,Bot,,,,,621512,,,3.270130408,-120.644943,1.741002468,11.9693252,25.74939162,-35.35696132,3.54,1.73,,,,82.7,2582,6.4,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.1,,,,,,,,20,1,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,50,0,-0.055
ST,4/14/23,80,-2.08,5.59,"Senga, Kodai",657656,673540,,ball,,,,,14,Ramon Laureano walks.,R,R,R,OAK,NYM,B,,,2,0,2023,0.94,-0.11,1.58,0.77,,,,0,2,Bot,,,,,621512,,,6.292358632,-116.317257,-3.616092979,7.139969521,24.89101766,-32.58991593,3.14,1.53,,,,79.6,2628,6.4,718578,673540,621512,624413,641645,500871,596019,643446,607043,516782,54.14,,,,,,,,18,3,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,48,0,0.123
